filename,group,slice,pace_hz,plv,lag_ms,sigmamu,vm_snr,ca_snr,hysteresis_width_mean,hysteresis_width_std,hysteresis_n_cycles,quality_flag,roi,original_plv,original_lag_ms,original_assignment,lag_ms_reprocessed_BAD
.\11931666\slice1 16Hz inte3.0 15V.tif,Sham,1,16.0,0.5374720026496058,46.0,1.7053865153540453,6.309040721907423,16.006397210961914,0.1658208130614714,0.1086230928234638,15,EXTREME_LAG,"(np.int64(58), np.int64(122), np.int64(23), np.int64(87))",0.5770560433849384,46.0,standard,-2928.0
.\11931666\slice1 2Hz inte3.0 15V.tif,Sham,1,2.0,0.444425941832821,490.0,0.6759757247324132,3.989718757755241,16.222681481393554,0.1716781333144795,0.0967423308465975,3,LOW_SNR,"(np.int64(58), np.int64(122), np.int64(22), np.int64(86))",0.9171622414836575,490.0,standard,-108.0
.\11931666\slice1 4Hz inte3.0 15V.tif,Sham,1,4.0,0.6863431956421884,54.0,0.5815136592174588,7.474904894795741,16.326566901102893,0.1868270080378145,0.139818868743205,8,USABLE,"(np.int64(57), np.int64(121), np.int64(21), np.int64(85))",0.5645933118267746,54.0,standard,0.0
.\11931666\slice1 8Hz inte3.0 15V.tif,Sham,1,8.0,0.6609664385305747,86.0,0.9854684098261924,3.845473868928004,15.909279864375783,0.2004725689722123,0.1200047308960001,23,LOW_SNR,"(np.int64(58), np.int64(122), np.int64(21), np.int64(85))",0.4849272251671352,86.0,standard,-84.0
.\11931666\slice10 16Hz inte3.0 15V.tif,Sham,10,16.0,0.5448343110872672,42.0,0.579882101879181,7.790408716670873,16.33095607266417,0.1888237946350301,0.088310115376484,13,USABLE,"(np.int64(39), np.int64(103), np.int64(6), np.int64(70))",0.4290622104995683,42.0,standard,-124.0
.\11931666\slice10 2Hz inte3.0 15V.tif,Sham,10,2.0,0.4749291669690172,58.0,0.3760928845803377,7.66411522688572,16.200175662999293,0.3727229769378419,0.2036800639180477,8,USABLE,"(np.int64(42), np.int64(106), np.int64(6), np.int64(70))",0.320026398227468,58.0,standard,-176.0
.\11931666\slice10 4Hz inte3.0 15V.tif,Sham,10,4.0,0.845376102149503,74.0,0.7794189884360397,11.919073818720008,17.9697153957654,0.4870696274250214,0.0430251542442208,3,USABLE,"(np.int64(42), np.int64(106), np.int64(5), np.int64(69))",0.5251593688401234,74.0,standard,4.0
.\11931666\slice10 8Hz inte3.0 15V.tif,Sham,10,8.0,0.5052096263700626,86.0,0.4212098680816519,6.628952691300302,16.060077294902392,0.1414557072352913,0.1137074711765187,29,USABLE,"(np.int64(39), np.int64(103), np.int64(5), np.int64(69))",0.4545642458929752,86.0,standard,-168.0
.\11931666\slice11 16Hz inte3.0 15V.tif,Sham,11,16.0,0.515400388743109,46.0,0.4720362115720694,6.880818827793879,16.15656774034735,0.2364327162757203,0.1225600335711918,29,USABLE,"(np.int64(77), np.int64(141), 0, np.int64(47))",0.5230496169043957,46.0,standard,-144.0
.\11931666\slice11 2Hz inte3.0 15V.tif,Sham,11,2.0,0.6834193750567233,50.0,0.5364466860600394,4.511251266965376,16.382098880671652,0.208068648760633,0.1615249591265239,9,LOW_SNR,"(np.int64(92), 150, 0, np.int64(55))",0.5884710255765192,50.0,standard,0.0
.\11931666\slice11 4Hz inte3.0 15V.tif,Sham,11,4.0,0.5803790476168119,54.0,0.4576911303197754,9.289459872672008,16.475504094432196,0.4868528141812305,0.2524910908205949,6,USABLE,"(np.int64(23), np.int64(87), np.int64(8), np.int64(72))",0.5302246257354829,54.0,standard,0.0
.\11931666\slice11 8Hz inte3.0 15V.tif,Sham,11,8.0,0.4039664953463944,119.0,0.3658834719370643,5.982789447412031,15.977048326574192,0.342140341682526,0.1073988667362422,27,LOW_SNR,"(np.int64(23), np.int64(87), np.int64(10), np.int64(74))",0.7423474112125256,119.0,standard,-164.0
.\11931666\slice12 16Hz inte3.0 15V.tif,Sham,12,16.0,0.4551762215468801,86.0,0.5545179505584696,7.158837332924316,16.253205178497062,0.1372226839813139,0.176896463298742,6,USABLE,"(np.int64(18), np.int64(82), np.int64(4), np.int64(68))",0.6772871099017369,86.0,standard,-164.0
.\11931666\slice12 4Hz inte3.0 15V.tif,Sham,12,4.0,0.6161885136978735,244.0,0.4687331123382195,16.348007853324468,7.991927053285233,0.3312246672802018,0.1363995993451517,16,USABLE,"(np.int64(57), np.int64(121), 0, np.int64(63))",0.6684847380806923,244.0,swapped,0.0
.\11931666\slice12 8Hz inte3.0 15V.tif,Sham,12,8.0,0.6159192909394032,82.0,0.5585392674660614,6.30844003250459,16.256524006580037,0.363286537948106,0.1309039481137114,29,USABLE,"(np.int64(20), np.int64(84), np.int64(5), np.int64(69))",0.5640243047216795,82.0,standard,0.0
.\11931666\slice13 16Hz inte3.0 15V.tif,Sham,13,16.0,0.7084008616669188,66.0,1.4110968790381742,10.325766392590772,16.71226222919219,0.247478308087344,0.2018764310239173,23,USABLE,"(np.int64(63), np.int64(127), np.int64(11), np.int64(75))",0.3457972746524321,66.0,standard,0.0
.\11931666\slice13 2Hz inte3.0 15V.tif,Sham,13,2.0,0.5569212547630025,102.0,0.4107701738147717,7.811072481962801,16.306463281534857,0.2756825300381869,0.1626636522353624,11,USABLE,"(np.int64(63), np.int64(127), np.int64(10), np.int64(74))",0.3993259710659618,102.0,standard,0.0
