Common name,Body mass (g),Metabolic rate (W),Maximum longevity (yrs),R_raw,R_mass_specific,R_allometric_scaled,Predicted_Lifespan,Residual,Relative_Error
American toad,21.6,0.00829,36.0,0.00829,0.3837962962962963,0.000827397524492769,30.252396096832253,5.747603903167747,0.15965566397688186
Southern toad,19.2,0.00698,10.0,0.00698,0.3635416666666667,0.0007609909659330101,30.619717000156133,-20.619717000156133,-2.0619717000156133
Cane toad,105.0,0.0303,24.8,0.0303,0.2885714285714286,0.0009237419233351762,32.20090463553557,-7.400904635535571,-0.2984235740135311
Gray treefrog,6.97,0.00433,7.8,0.00433,0.6212338593974175,0.0010094000287790535,27.060295468423753,-19.260295468423752,-2.469268649797917
African clawed frog,63.6,0.012,30.3,0.012,0.18867924528301885,0.0005328296814014488,35.17373297203797,-4.873732972037967,-0.16084927300455337
American bullfrog,51.2,0.0134,16.0,0.0134,0.26171875,0.0007000875067721919,32.87728429554244,-16.877284295542438,-1.0548302684714024
Northern leopard frog,21.6,0.00576,9.0,0.00576,0.26666666666666666,0.0005748865791409348,32.747246616631685,-23.747246616631685,-2.6385829574035204
Wood frog,7.8,0.00416,5.0,0.00416,0.5333333333333333,0.0008912968642757273,28.057183604446575,-23.057183604446575,-4.611436720889315
Spotted salamander,12.8,0.005,32.0,0.005,0.390625,0.0007388606320337312,30.133243081832003,1.8667569181679973,0.058336153692749915
Tiger salamander,3.21,0.00196,25.0,0.00196,0.6105919003115264,0.0008172920925349178,27.172503159678875,-2.1725031596788753,-0.08690012638715501
Two-toed amphiuma,199.0,0.00904,27.0,0.00904,0.045427135678391954,0.00017061948359585783,45.56953525642039,-18.569535256420387,-0.687760565052607
Hellbender,358.0,0.0253,29.0,0.0253,0.07067039106145251,0.0003074031059270665,42.290734101828065,-13.290734101828065,-0.45830117592510566
Black-bellied salamander,14.1,0.00411,15.0,0.00411,0.29148936170212764,0.0005648426571554623,32.13148499953121,-17.13148499953121,-1.1420989999687474
Eastern red-backed salamander,0.76,9.9e-05,25.0,9.9e-05,0.13026315789473683,0.00012162560130390051,37.824044030187004,-12.824044030187004,-0.5129617612074802
Northern slimy salamander,4.2,0.00191,20.1,0.00191,0.4547619047619047,0.000651023101057056,29.11300381502008,-9.013003815020078,-0.4484081500009989
European fire salamander,19.1,0.00857,24.0,0.00857,0.4486910994764397,0.0009380063890175593,29.202689016732634,-5.202689016732634,-0.21677870903052643
Eurasian sparrowhawk,135.0,0.9516,20.2,0.9516,7.0488888888888885,0.024027252202899387,13.447377341492603,6.752622658507397,0.3342882504211583
Golden eagle,3000.0,4.9929,48.0,4.9929,1.6643,0.012317198115165105,20.986784153964205,27.013215846035795,0.5627753301257458
Red-shouldered hawk,658.0,2.11,22.4,2.11,3.206686930091185,0.016241010049668506,17.344202036391795,5.055797963608203,0.22570526623250908
Black-chested buzzard-eagle,2860.0,5.1887,42.0,5.1887,1.8142307692307693,0.013267345428001126,20.488259076290532,21.511740923709468,0.5121843077073682
"European honey buzzard, or Western honey-buzzard",652.0,2.36428,29.0,2.36428,3.626196319018405,0.01832370163931648,16.700535402856033,12.299464597143967,0.42411946886703333
Wood duck,448.0,2.247,22.5,2.247,5.015625,0.023075151545218033,15.064476956083803,7.435523043916197,0.33046769084071986
Northern shoveler,554.0,3.9209,22.6,3.9209,7.0774368231046925,0.034336295866357044,13.428793549879307,9.171206450120694,0.4058055951380838
Green-winged teal,250.0,1.68388,27.1,1.68388,6.73552,0.026782809495125223,13.65747937449184,13.44252062550816,0.49603397142096534
Eurasian wigeon,723.0,2.8538,35.2,2.8538,3.94716459197787,0.02046773618830864,16.263991237219326,18.936008762780677,0.5379547943971783
Mallard,1020.0,4.068,29.1,4.068,3.9882352941176467,0.02253880132870943,16.2111333254091,12.8888666745909,0.442916380570134
American black duck,904.0,3.6076,26.6,3.6076,3.99070796460177,0.021882254028361345,16.20797131985809,10.392028680141912,0.3906777699301471
Common swift,44.9,0.4372,21.1,0.4372,9.737193763919823,0.02520550467737317,12.008568781595397,9.091431218404605,0.43087351745993385
Ruby-throated hummingbird,3.2,0.07832,9.1,0.07832,24.474999999999998,0.03273483792859586,8.429911448737672,0.670088551262328,0.07363610453432176
Anna's hummingbird,4.8,0.1175,8.5,0.1175,24.479166666666668,0.03623322063660146,8.429322613543071,0.07067738645692856,0.008314986641991595
Rufous hummingbird,3.8,0.06853,8.9,0.06853,18.03421052631579,0.025179264173906313,9.529018695953216,-0.6290186959532154,-0.07067625797227138
Calliope hummingbird,3.0,0.06853,7.0,0.06853,22.84333333333333,0.030063517369211434,8.670747034414035,-1.6707470344140347,-0.23867814777343352
Brown kiwi,2380.0,4.029,35.0,4.029,1.6928571428571428,0.01182400349974325,20.88800604212373,14.111993957876269,0.4031998273678934
Common nighthawk,72.0,0.4421,10.0,0.4421,6.140277777777778,0.017886326022650643,14.090688630907563,-4.090688630907563,-0.4090688630907563
Common murre,956.0,6.8224,42.8,6.8224,7.136401673640168,0.03968201888588203,13.390691595820686,29.409308404179313,0.6871333739294233
Thick-billed murre,989.0,6.8224,29.0,6.8224,6.898281092012134,0.038684764732973526,13.546930575623133,15.453069424376867,0.5328644629095471
Little ringed plover,36.0,0.416,13.0,0.416,11.555555555555555,0.028305214805494503,11.284701485840477,1.7152985141595227,0.13194603955073253
Eurasian oystercatcher,449.0,2.91,43.3,2.91,6.481069042316259,0.029833776592719644,13.836852512374428,29.46314748762557,0.6804422052569417
"Brown noddy, or Noddy tern",138.7,0.788095,26.2,0.788095,5.682011535688536,0.01949939901744082,14.459742273029965,11.740257726970034,0.44810143996068835
White tern,98.1,0.82236,35.9,0.82236,8.382874617737004,0.026382152251766412,12.663724232436689,23.23627576756331,0.6472500213805936
Herring gull,1000.0,4.817,49.0,4.817,4.817,0.027087981634419115,15.263294125801268,33.736705874198734,0.6885042015142598
Mew gull,431.0,2.257,33.7,2.257,5.236658932714618,0.023860174001353582,14.853864133184604,18.8461358668154,0.5592325183031275
Ring-billed gull,439.0,2.91742,31.8,2.91742,6.645603644646925,0.030419394538826715,13.719927852813987,18.080072147186016,0.5685557278989313
Western gull,761.0,3.43629,33.9,3.43629,4.5154927726675425,0.023716539207577405,15.584303867444115,18.315696132555885,0.5402860216093182
Ruddy turnstone,90.0,0.92,22.3,0.92,10.222222222222223,0.03148516294646379,11.800316492640444,10.499683507359556,0.47083782544213254
