filename,group,slice,freq_hz,assignment,plv,sigma_mu,lag_ms,cycle_ms,lag_cycle_ratio,vm_snr_db,ca_snr_db,roi_y1,roi_y2,roi_x1,roi_x2,duration_s,n_frames,quality_flag
slice1 16Hz inte3.0 15V.tif,TAC,1,16,standard,0.5376632839382317,2.773442619460548,2930.0,62.5,46.88,10.73103419175979,16.1984919164183,58,122,22,86,6.0,1500,USABLE
slice1 2Hz inte3.0 15V.tif,TAC,1,2,standard,0.4431323178235017,0.6804526338719172,110.0,500.0,0.22,7.242392172906155,8.767129551828518,58,122,23,87,6.0,1500,USABLE
slice1 4Hz inte3.0 15V.tif,TAC,1,4,swapped,0.6890662621682142,0.5881519619762802,248.0,250.0,0.992,11.043461232099483,16.774289090744993,58,122,23,87,6.0,1500,USABLE
slice1 8Hz inte3.0 15V.tif,TAC,1,8,standard,0.6613306431484074,0.9853649670235132,86.0,125.0,0.688,8.584058658482837,11.420345425594853,58,122,23,87,6.0,1500,USABLE
slice10 16Hz inte3.0 15V.tif,TAC,10,16,standard,0.5424774058694803,0.5743068447296105,126.0,62.5,2.016,8.390762353101746,14.583046126889949,41,105,5,69,6.0,1500,USABLE
slice10 2Hz inte3.0 15V.tif,TAC,10,2,standard,0.4778228011056069,0.3760814960399573,178.0,500.0,0.356,9.186017513289912,16.08809265742996,52,116,4,68,6.0,1500,USABLE
slice10 4Hz inte3.0 15V.tif,TAC,10,4,standard,0.8453591704695317,0.7795045572155375,244.0,250.0,0.976,3.766906042087665,11.439552241278626,42,106,5,69,6.0,1500,USABLE
slice10 8Hz inte3.0 15V.tif,TAC,10,8,standard,0.5052714650194595,0.4212317087845835,170.0,125.0,1.36,10.502948860367605,17.044007070487037,39,103,7,71,6.0,1500,USABLE
slice11 16Hz inte3.0 15V.tif,TAC,11,16,standard,0.5158569886346891,0.4720309371062832,146.0,62.5,2.336,8.379711941382268,12.931217110847754,78,142,0,47,6.0,1500,USABLE
slice11 2Hz inte3.0 15V.tif,TAC,11,2,swapped,0.6915066946361413,0.8854773036318166,498.0,500.0,0.996,8.28228428810823,13.93979806450242,29,93,5,69,6.0,1500,USABLE
slice11 4Hz inte3.0 15V.tif,TAC,11,4,swapped,0.5787148676069643,0.521235279022368,248.0,250.0,0.992,10.82290143479922,20.00817368127784,27,91,6,70,6.0,1500,USABLE
slice11 8Hz inte3.0 15V.tif,TAC,11,8,standard,0.404712701929781,0.3521694596527671,166.0,125.0,1.328,9.030950186744857,13.761772903748806,22,86,9,73,6.0,1500,USABLE
slice12 16Hz inte3.0 15V.tif,TAC,12,16,standard,0.4560952739719376,0.5182004670498976,166.0,62.5,2.656,9.013284644936691,16.101324769215978,58,122,0,64,6.0,1500,USABLE
slice12 2Hz inte3.0 15V.tif,TAC,12,2,swapped,0.649244443470076,0.6898639898367351,498.0,500.0,0.996,9.44463309187306,15.875871927401466,59,123,0,64,6.0,1500,USABLE
slice12 4Hz inte3.0 15V.tif,TAC,12,4,swapped,0.6161635991575836,0.4687586862815852,248.0,250.0,0.992,10.103961534375689,16.99555254174514,57,121,0,63,6.0,1500,USABLE
slice12 8Hz inte3.0 15V.tif,TAC,12,8,swapped,0.624804688347624,0.5432896173928529,123.0,125.0,0.984,8.432800676465293,12.672759103357386,53,117,0,59,6.0,1500,USABLE
slice13 16Hz inte3.0 15V.tif,TAC,13,16,swapped,0.7088048288947417,1.7103373284721175,60.5,62.5,0.968,12.297319171218316,21.9672959297767,62,126,11,75,6.0,1500,USABLE
slice13 2Hz inte3.0 15V.tif,TAC,13,2,swapped,0.5560579932442455,0.3935064741050233,498.0,500.0,0.996,9.066035199942291,15.271160388957588,63,127,11,75,6.0,1500,USABLE
slice13 4Hz inte3.0 15V.tif,TAC,13,4,standard,0.5175580799788885,0.3072795882626032,2686.0,250.0,10.744,11.9106774328615,18.785101546270475,9,73,10,74,6.0,1500,USABLE
slice13 8Hz inte3.0 15V.tif,TAC,13,8,swapped,0.6506565094865749,0.6955072222954919,123.0,125.0,0.984,8.333991835139972,11.513630941131774,62,126,12,76,6.0,1500,USABLE
slice14 16Hz inte3.0 15V.tif,TAC,14,16,standard,0.4972027453782488,0.3772741911688623,1566.0,62.5,25.056,9.120588610159595,16.790961575064326,58,122,3,67,6.0,1500,EXCLUDE
slice14 2Hz inte3.0 15V.tif,TAC,14,2,swapped,0.5361812528295287,0.4308839348373027,498.0,500.0,0.996,8.964509153141602,15.757033854709892,57,121,2,66,6.0,1500,USABLE
slice14 4Hz inte3.0 15V.tif,TAC,14,4,swapped,0.5907976769543087,0.6096853781949787,248.0,250.0,0.992,10.316909092634653,17.2254266983275,54,118,0,64,6.0,1500,USABLE
slice14 8Hz inte3.0 15V.tif,TAC,14,8,standard,0.843232072568849,4.050419865026329,119.0,125.0,0.952,12.407628940257167,11.60087384245844,52,116,0,64,6.0,1500,USABLE
slice2 16Hz inte3.0 15V.tif,TAC,2,16,standard,0.5222718878784853,0.7606681559018719,1778.0,62.5,28.448,9.475597823166506,16.79381472770251,60,124,27,91,6.0,1500,USABLE
slice2 2Hz inte3.0 15V.tif,TAC,2,2,standard,0.534259512629139,0.798317477954971,26.0,500.0,0.052,7.611774998014209,11.43550566637455,61,125,30,94,6.0,1500,USABLE
slice2 4Hz inte3.0 15V.tif,TAC,2,4,standard,0.1856721256187856,0.4583492450651226,2998.0,250.0,11.992,9.08033981440802,13.799110816130408,60,124,29,93,6.0,1500,EXCLUDE
slice2 8Hz inte3.0 15V.tif,TAC,2,8,standard,0.5158247227049574,0.5857442759181813,86.0,125.0,0.688,8.36992547456736,11.8014971228013,61,125,27,91,6.0,1500,USABLE
slice3 16Hz inte3.0 15V.tif,TAC,3,16,standard,0.5777380216117806,0.9024710145121964,1466.0,62.5,23.456,11.77668671503958,21.605190572059023,27,91,33,97,6.0,1500,USABLE
slice3 2Hz inte3.0 15V.tif,TAC,3,2,swapped,0.6761961661539398,2.1936180987240186,498.0,500.0,0.996,7.938447304618661,12.573679086658345,26,90,34,98,6.0,1500,USABLE
slice3 4Hz inte3.0 15V.tif,TAC,3,4,standard,0.3765034665892407,1.6389727651067312,2.0,250.0,0.008,9.922483533742543,15.35861560673165,26,90,40,104,6.0,1500,USABLE
slice3 8Hz inte3.0 15V.tif,TAC,3,8,standard,0.5767751914925943,5.071032355333723,86.0,125.0,0.688,11.900758120712888,17.28974318670174,28,92,36,100,6.0,1500,USABLE
slice4 16Hz inte3.0 15V.tif,TAC,4,16,standard,0.4996400592404174,0.4330141109867892,1962.0,62.5,31.392,11.999521799960997,19.98954741775349,22,86,14,78,6.0,1500,EXCLUDE
slice4 2Hz inte3.0 15V.tif,TAC,4,2,swapped,0.5635204600991653,0.368181277784269,498.0,500.0,0.996,8.253792502076577,13.16070220574499,23,87,14,78,6.0,1500,USABLE
slice4 4Hz inte3.0 15V.tif,TAC,4,4,standard,0.5340949420749551,0.3469672455681782,2810.0,250.0,11.24,11.128712064560904,17.98559126315127,23,87,14,78,6.0,1500,USABLE
slice4 8Hz inte3.0 15V.tif,TAC,4,8,swapped,0.609432008692738,0.6037137447658035,123.0,125.0,0.984,8.956815074194145,12.760843461302944,21,85,14,78,6.0,1500,USABLE
slice5 16Hz inte3.0 15V.tif,TAC,5,16,standard,0.5749669639258248,0.3763382728520179,162.0,62.5,2.592,10.502151100548328,18.358223058036,26,90,14,78,6.0,1500,USABLE
slice5 2Hz inte3.0 15V.tif,TAC,5,2,swapped,0.659083983798536,0.6090860117813178,498.0,500.0,0.996,8.521848232269765,12.78385958685963,24,88,14,78,6.0,1500,USABLE
slice5 4Hz inte3.0 15V.tif,TAC,5,4,swapped,0.5819215867427286,0.3846872639603337,248.0,250.0,0.992,8.337584227096247,13.009741745246108,25,89,14,78,6.0,1500,USABLE
slice5 8Hz inte3.0 15V.tif,TAC,5,8,standard,0.5418401451671924,0.4142806443537234,86.0,125.0,0.688,8.882264726969002,13.078441985204387,26,90,14,78,6.0,1500,USABLE
slice6 16Hz inte3.0 15V.tif,TAC,6,16,standard,0.5740179337799032,0.3656973373710754,158.0,62.5,2.528,10.081076864329376,15.056079176631918,75,139,50,114,6.0,1500,USABLE
slice6 2Hz inte3.0 15V.tif,TAC,6,2,swapped,0.5911300538526513,0.3204995628524084,498.0,500.0,0.996,9.336461288931948,13.41873302657848,75,139,51,115,6.0,1500,USABLE
slice6 4Hz inte3.0 15V.tif,TAC,6,4,swapped,0.7107968102746971,0.6930615935590667,248.0,250.0,0.992,9.327951546147716,13.132072860987616,77,141,49,113,6.0,1500,USABLE
slice6 8Hz inte3.0 15V.tif,TAC,6,8,swapped,0.5817050949368949,0.4728252751435299,123.0,125.0,0.984,10.08493649907739,13.910447377857674,76,140,49,113,6.0,1500,USABLE
slice7 16Hz inte3.0 15V.tif,TAC,7,16,standard,0.5199561725385223,0.4221891902531599,170.0,62.5,2.72,9.647220722179856,15.456399178796612,7,71,0,60,6.0,1500,USABLE
slice7 2Hz inte3.0 15V.tif,TAC,7,2,swapped,0.587121584534336,0.4018009840307213,498.0,500.0,0.996,8.613242389282329,12.774848038539693,0,59,6,70,6.0,1500,USABLE
slice7 4Hz inte3.0 15V.tif,TAC,7,4,swapped,0.6552440030938642,0.6401980069253685,248.0,250.0,0.992,8.363447885649393,11.966528382990823,7,71,0,60,6.0,1500,USABLE
slice7 8Hz inte3.0 15V.tif,TAC,7,8,swapped,0.7476769917667293,0.6584031163561737,123.0,125.0,0.984,8.581199646637218,11.562977125827745,0,59,7,71,6.0,1500,USABLE
slice8 16Hz inte3.0 15V.tif,TAC,8,16,swapped,0.6264620349704861,0.4838316102423008,60.5,62.5,0.968,10.879883135500108,19.95994632454816,34,98,20,84,6.0,1500,USABLE
slice8 2Hz inte3.0 15V.tif,TAC,8,2,swapped,0.518994718052128,0.3809543403593828,498.0,500.0,0.996,9.33403819980726,17.209436131470447,35,99,21,85,6.0,1500,USABLE
slice8 4Hz inte3.0 15V.tif,TAC,8,4,standard,0.4470455478242892,0.4430864685598377,338.0,250.0,1.352,10.870560763316652,18.2882189548105,35,99,21,85,6.0,1500,EXCLUDE
slice8 8Hz inte3.0 15V.tif,TAC,8,8,standard,0.6657166680346525,0.839192558598665,86.0,125.0,0.688,9.360500192002664,15.46825923281071,34,98,21,85,6.0,1500,USABLE
slice9 16Hz inte3.0 15V.tif,TAC,9,16,swapped,0.4956195039836982,0.3251899625425938,60.5,62.5,0.968,9.66852228944579,15.125730401812543,76,140,8,72,6.0,1500,USABLE
slice9 2Hz inte3.0 15V.tif,TAC,9,2,standard,0.3429528695039701,1.5551277633022142,1074.0,500.0,2.148,4.70282160879992,6.21711479818296,77,141,9,73,6.0,1500,EXCLUDE
slice9 4Hz inte3.0 15V.tif,TAC,9,4,standard,0.6549401296651767,0.4519680515718848,170.0,250.0,0.68,10.995826767406944,18.67423725218773,28,92,16,80,6.0,1500,USABLE
slice9 8Hz inte3.0 15V.tif,TAC,9,8,standard,0.4731160725446852,0.3225524040578017,170.0,125.0,1.36,8.267929574589436,11.49179182429772,19,83,14,78,6.0,1500,USABLE
